"name","kind","portions"
"segedin","lunch","6"
"chilli con carne","lunch","6"
"pecene kuracie stehna","lunch","4"
"kuracie s hraskom a mrkvou","lunch","4"
"rizoto italske","lunch","2"
"tom yum","lunch","2"
"hovedzie na slivkach","lunch","4"
"chicken tikka masala","lunch","4"
"indicke curry","lunch","4"
"chlebiky, sunka a syr","breakfast","4"
"jogurt a vlocky","breakfast","2"
"chlebiky, sunka a syr","dinner","4"
"palacinky","breakfast","2"
"parky","breakfast","2"
"vianocka","breakfast","2"
"pecene zemiaky","dinner","2"
"cornies","snack","2"
"citronovy kolac","snack","4"
"coko chlebiky","snack","2"
